char,deltaup,deltadown,downtime,uptime,char_index,user
c,0.443323135376,0.0696980953217,9.41075801849,9.48046207428,21,kole
a,0.481286048889,0.0916790962219,9.80036401749,9.89205002785,22,kole
t,0.418436050415,0.0538470745087,10.1649541855,10.218806982,23,kole
c,0.870459079742,0.0765430927277,10.9588701725,11.0354201794,24,kole
h,0.195634126663,0.103248119354,11.051251173,11.1545171738,25,kole
=,0.948213100433,0.116029977798,11.883439064,11.9994750023,26,kole
4,0.405745029449,0.0834991931915,12.205684185,12.2891900539,27,kole
5,0.394466161728,0.0752031803131,12.5249481201,12.6001582146,28,kole
;,0.787014007568,0.077565908432,13.2343959808,13.3119690418,29,kole
;,0.401785135269,0.0863461494446,13.549834013,13.6361880302,30,kole
;,0,0.0658550262451,0,0.0658609867096,0,kole
;,0.364732980728,0.0860340595245,0.278698921204,0.364737987518,1,kole
9,0.444472074509,0.0989968776703,0.624172925949,0.723177909851,2,kole
2,0.991741895676,0.0864369869232,1.5294778347,1.61592197418,3,kole
=,0.598861932755,0.127403020859,2.00093579292,2.12834882736,4,kole
d,0.60159611702,0.0891880989075,2.51334476471,2.60253977776,5,kole
i,0.890789031982,0.124176979065,3.2799577713,3.40414094925,6,kole
s,0.453151941299,0.120288848877,3.61282086372,3.73311686516,7,kole
t,0.497205018997,0.0962371826172,4.01378798485,4.11003494263,8,kole
a,0.82032418251,0.0919442176819,4.74216794968,4.83411884308,9,kole
n,0.258642196655,0.0931031703949,4.90770792961,5.00081777573,10,kole
c,0.955325126648,0.10154914856,5.7614839077,5.86303877831,11,kole
e,0.511536121368,0.0721259117126,6.20089387894,6.27302598953,12,kole
=,0.521969795227,0.0822768211365,6.64058685303,6.72286987305,13,kole
c,0.580888032913,0.0552999973297,7.16617584229,7.22147989273,14,kole
o,0.277359962463,0.0803601741791,7.36317396164,7.44353985786,15,kole
m,0.476191997528,0.0747709274292,7.76459383965,7.83937597275,16,kole
m,0.512027978897,0.104374885559,8.17224884033,8.27662992477,17,kole
o,0.64036488533,0.0832228660583,8.7293908596,8.81261897087,18,kole
n,0.30456495285,0.117365121841,8.91659092903,9.03396177292,19,kole
